Date.26,year,month,day,housing starts
2015-12-01,2015.0,12.0,1.0,"154,453.68"
2015-11-01,2015.0,11.0,1.0,"140,568.66"
2015-10-01,2015.0,10.0,1.0,"127,085.85"
2015-09-01,2015.0,9.0,1.0,"114,814.00"
2015-08-01,2015.0,8.0,1.0,"95,181.85"
2015-07-01,2015.0,7.0,1.0,"81,730.66"
2015-06-01,2015.0,6.0,1.0,"67,478.78"
2015-05-01,2015.0,5.0,1.0,"50,304.75"
2015-04-01,2015.0,4.0,1.0,"35,756.09"
2015-03-01,2015.0,3.0,1.0,"23,723.62"
2015-02-01,2015.0,2.0,1.0,"13,743.52"
2015-01-01,2015.0,1.0,1.0,
2014-12-01,2014.0,12.0,1.0,"179,592.49"
2014-11-01,2014.0,11.0,1.0,"164,705.46"
2014-10-01,2014.0,10.0,1.0,"147,661.01"
2014-09-01,2014.0,9.0,1.0,"131,410.97"
2014-08-01,2014.0,8.0,1.0,"114,381.52"
2014-07-01,2014.0,7.0,1.0,"98,231.77"
2014-06-01,2014.0,6.0,1.0,"80,125.74"
2014-05-01,2014.0,5.0,1.0,"59,912.47"
2014-04-01,2014.0,4.0,1.0,"43,234.32"
2014-03-01,2014.0,3.0,1.0,"29,089.66"
2014-02-01,2014.0,2.0,1.0,"16,693.01"
2014-01-01,2014.0,1.0,1.0,
2013-12-01,2013.0,12.0,1.0,"201,207.84"
2013-11-01,2013.0,11.0,1.0,"181,054.68"
2013-10-01,2013.0,10.0,1.0,"156,275.00"
2013-09-01,2013.0,9.0,1.0,"144,899.56"
2013-08-01,2013.0,8.0,1.0,"127,840.31"
2013-07-01,2013.0,7.0,1.0,"112,637.72"
2013-06-01,2013.0,6.0,1.0,"95,901.09"
2013-05-01,2013.0,5.0,1.0,"73,613.29"
2013-04-01,2013.0,4.0,1.0,"55,505.88"
2013-03-01,2013.0,3.0,1.0,"38,872.95"
2013-02-01,2013.0,2.0,1.0,23001.02
2013-01-01,2013.0,1.0,1.0,
2012-12-01,2012.0,12.0,1.0,"177,333.62"
2012-11-01,2012.0,11.0,1.0,"162,413.22"
2012-10-01,2012.0,10.0,1.0,"146,792.20"
2012-09-01,2012.0,9.0,1.0,"135,014.43"
2012-08-01,2012.0,8.0,1.0,"122,940.43"
2012-07-01,2012.0,7.0,1.0,"103,904.55"
2012-06-01,2012.0,6.0,1.0,"92,379.67"
2012-05-01,2012.0,5.0,1.0,"72,859.30"
2012-04-01,2012.0,4.0,1.0,"54,467.80"
2012-03-01,2012.0,3.0,1.0,"39,946.27"
2012-02-01,2012.0,2.0,1.0,"20,048.65"
2012-01-01,2012.0,1.0,1.0,
2011-12-01,2011.0,12.0,1.0,"190,082.70"
2011-11-01,2011.0,11.0,1.0,"174,951.75"
2011-10-01,2011.0,10.0,1.0,"160,362.19"
2011-09-01,2011.0,9.0,1.0,"147,774.69"
2011-08-01,2011.0,8.0,1.0,"131,880.67"
2011-07-01,2011.0,7.0,1.0,"115,169.16"
2011-06-01,2011.0,6.0,1.0,"99,442.59"
2011-05-01,2011.0,5.0,1.0,"76,118.16"
2011-04-01,2011.0,4.0,1.0,"56,840.51"
2011-03-01,2011.0,3.0,1.0,"39,842.43"
2011-02-01,2011.0,2.0,1.0,"19,082.79"
2011-01-01,2011.0,1.0,1.0,
2010-12-01,2010.0,12.0,1.0,"163,776.67"
2010-11-01,2010.0,11.0,1.0,"145,130.00"
2010-10-01,2010.0,10.0,1.0,"131,756.46"
2010-09-01,2010.0,9.0,1.0,"119,441.00"
2010-08-01,2010.0,8.0,1.0,"104,847.46"
2010-07-01,2010.0,7.0,1.0,"92,183.27"
2010-06-01,2010.0,6.0,1.0,"80,450.94"
2010-05-01,2010.0,5.0,1.0,"61,462.64"
2010-04-01,2010.0,4.0,1.0,"45,686.81"
2010-03-01,2010.0,3.0,1.0,"32,288.60"
2010-02-01,2010.0,2.0,1.0,"14,914.32"
