Date.34,year,month,day,"housing starts, country1"
2014-04-01,2014.0,4.0,1.0,1129597.98
2014-03-01,2014.0,3.0,1.0,1094093.88
2014-02-01,2014.0,2.0,1.0,1059218.84
2014-01-01,2014.0,1.0,1.0,
2013-12-01,2013.0,12.0,1.0,1331176.78
2013-11-01,2013.0,11.0,1.0,1292225.22
2013-10-01,2013.0,10.0,1.0,1232963.12
2013-09-01,2013.0,9.0,1.0,1207996.28
2013-08-01,2013.0,8.0,1.0,1171138.58
2013-07-01,2013.0,7.0,1.0,1137394.9
2013-06-01,2013.0,6.0,1.0,1098849.84
2013-05-01,2013.0,5.0,1.0,1046894.96
2013-04-01,2013.0,4.0,1.0,1001268.38
2013-03-01,2013.0,3.0,1.0,957932.16
2013-02-01,2013.0,2.0,1.0,910877.86
2013-01-01,2013.0,1.0,1.0,
2012-12-01,2012.0,12.0,1.0,1146868.04
2012-11-01,2012.0,11.0,1.0,1113348.76
2012-10-01,2012.0,10.0,1.0,1076331.4
2012-09-01,2012.0,9.0,1.0,1050786.08
2012-08-01,2012.0,8.0,1.0,1023347.58
2012-07-01,2012.0,7.0,1.0,978465.28
2012-06-01,2012.0,6.0,1.0,951260.54
2012-05-01,2012.0,5.0,1.0,902760.4
2012-04-01,2012.0,4.0,1.0,854407.74
2012-03-01,2012.0,3.0,1.0,818475.98
2012-02-01,2012.0,2.0,1.0,789834.64
2012-01-01,2012.0,1.0,1.0,
2011-12-01,2011.0,12.0,1.0,1015951.78
2011-11-01,2011.0,11.0,1.0,982655.12
2011-10-01,2011.0,10.0,1.0,949604.34
2011-09-01,2011.0,9.0,1.0,921604.1
2011-08-01,2011.0,8.0,1.0,885264.92
2011-07-01,2011.0,7.0,1.0,848423.5
2011-06-01,2011.0,6.0,1.0,811508.12
2011-05-01,2011.0,5.0,1.0,755065.08
2011-04-01,2011.0,4.0,1.0,704976.24
2011-03-01,2011.0,3.0,1.0,654836.52
2011-02-01,2011.0,2.0,1.0,582978.94
2011-01-01,2011.0,1.0,1.0,
2010-12-01,2010.0,12.0,1.0,811110.82
2010-11-01,2010.0,11.0,1.0,768587.3
2010-10-01,2010.0,10.0,1.0,739626.58
2010-09-01,2010.0,9.0,1.0,710837.4
2010-08-01,2010.0,8.0,1.0,678394.46
2010-07-01,2010.0,7.0,1.0,648551.78
2010-06-01,2010.0,6.0,1.0,616888.44
2010-05-01,2010.0,5.0,1.0,570203.48
2010-04-01,2010.0,4.0,1.0,529295.28
2010-03-01,2010.0,3.0,1.0,484438.36
2010-02-01,2010.0,2.0,1.0,419407.74
2010-01-01,2010.0,1.0,1.0,
